Generated by opendatacommunities.org,2013-09-06T16:43:01+01:00
http://opendatacommunities.org/data/societal-wellbeing/deprivation/imd-rank-la-2010,"Index of Multiple Deprivation 2010, Local Authority District Rank of Average Rank"

,,http://reference.data.gov.uk/id/year/2010
http://statistics.data.gov.uk/id/statistical-geography/E07000123,E07000123 Preston,59
http://statistics.data.gov.uk/id/statistical-geography/E07000124,E07000124 Ribble Valley,285
http://statistics.data.gov.uk/id/statistical-geography/E07000125,E07000125 Rossendale,90
http://statistics.data.gov.uk/id/statistical-geography/E07000126,E07000126 South Ribble,207
http://statistics.data.gov.uk/id/statistical-geography/E07000127,E07000127 West Lancashire,153
http://statistics.data.gov.uk/id/statistical-geography/E07000128,E07000128 Wyre,185
http://statistics.data.gov.uk/id/statistical-geography/E07000129,E07000129 Blaby,293
http://statistics.data.gov.uk/id/statistical-geography/E07000130,E07000130 Charnwood,234
http://statistics.data.gov.uk/id/statistical-geography/E07000131,E07000131 Harborough,319
http://statistics.data.gov.uk/id/statistical-geography/E07000132,E07000132 Hinckley and Bosworth,251
http://statistics.data.gov.uk/id/statistical-geography/E07000133,E07000133 Melton,249
http://statistics.data.gov.uk/id/statistical-geography/E07000134,E07000134 North West Leicestershire,194
http://statistics.data.gov.uk/id/statistical-geography/E07000135,E07000135 Oadby and Wigston,272
http://statistics.data.gov.uk/id/statistical-geography/E07000136,E07000136 Boston,65
http://statistics.data.gov.uk/id/statistical-geography/E07000137,E07000137 East Lindsey,58
http://statistics.data.gov.uk/id/statistical-geography/E07000138,E07000138 Lincoln,62
http://statistics.data.gov.uk/id/statistical-geography/E07000139,E07000139 North Kesteven,270
http://statistics.data.gov.uk/id/statistical-geography/E07000140,E07000140 South Holland,148
http://statistics.data.gov.uk/id/statistical-geography/E07000141,E07000141 South Kesteven,242
http://statistics.data.gov.uk/id/statistical-geography/E07000142,E07000142 West Lindsey,171
http://statistics.data.gov.uk/id/statistical-geography/E07000143,E07000143 Breckland,174
http://statistics.data.gov.uk/id/statistical-geography/E07000144,E07000144 Broadland,267
http://statistics.data.gov.uk/id/statistical-geography/E07000145,E07000145 Great Yarmouth,57
http://statistics.data.gov.uk/id/statistical-geography/E07000146,E07000146 King's Lynn and West Norfolk,120
http://statistics.data.gov.uk/id/statistical-geography/E07000147,E07000147 North Norfolk,118
http://statistics.data.gov.uk/id/statistical-geography/E07000148,E07000148 Norwich,73
http://statistics.data.gov.uk/id/statistical-geography/E07000149,E07000149 South Norfolk,256
http://statistics.data.gov.uk/id/statistical-geography/E07000150,E07000150 Corby,51
http://statistics.data.gov.uk/id/statistical-geography/E07000151,E07000151 Daventry,253
http://statistics.data.gov.uk/id/statistical-geography/E07000152,E07000152 East Northamptonshire,229
http://statistics.data.gov.uk/id/statistical-geography/E07000153,E07000153 Kettering,186
http://statistics.data.gov.uk/id/statistical-geography/E07000154,E07000154 Northampton,127
http://statistics.data.gov.uk/id/statistical-geography/E07000155,E07000155 South Northamptonshire,323
http://statistics.data.gov.uk/id/statistical-geography/E07000156,E07000156 Wellingborough,138
http://statistics.data.gov.uk/id/statistical-geography/E07000163,E07000163 Craven,241
http://statistics.data.gov.uk/id/statistical-geography/E07000164,E07000164 Hambleton,265
http://statistics.data.gov.uk/id/statistical-geography/E07000165,E07000165 Harrogate,283
http://statistics.data.gov.uk/id/statistical-geography/E07000166,E07000166 Richmondshire,261
http://statistics.data.gov.uk/id/statistical-geography/E07000167,E07000167 Ryedale,200
http://statistics.data.gov.uk/id/statistical-geography/E07000168,E07000168 Scarborough,83
http://statistics.data.gov.uk/id/statistical-geography/E07000169,E07000169 Selby,236
http://statistics.data.gov.uk/id/statistical-geography/E07000170,E07000170 Ashfield,54
http://statistics.data.gov.uk/id/statistical-geography/E07000171,E07000171 Bassetlaw,86
http://statistics.data.gov.uk/id/statistical-geography/E07000172,E07000172 Broxtowe,219
http://statistics.data.gov.uk/id/statistical-geography/E07000173,E07000173 Gedling,196
http://statistics.data.gov.uk/id/statistical-geography/E07000174,E07000174 Mansfield,36
http://statistics.data.gov.uk/id/statistical-geography/E07000175,E07000175 Newark and Sherwood,147
http://statistics.data.gov.uk/id/statistical-geography/E07000176,E07000176 Rushcliffe,318
http://statistics.data.gov.uk/id/statistical-geography/E07000177,E07000177 Cherwell,240
http://statistics.data.gov.uk/id/statistical-geography/E07000178,E07000178 Oxford,111
http://statistics.data.gov.uk/id/statistical-geography/E07000179,E07000179 South Oxfordshire,307
http://statistics.data.gov.uk/id/statistical-geography/E07000180,E07000180 Vale of White Horse,306
http://statistics.data.gov.uk/id/statistical-geography/E07000181,E07000181 West Oxfordshire,317
