Body name,Body,"Full Property Address","Post Code","Analysis Code of Last 2010 Valuation","NDR - Analysis code description"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Unit C2 Block C 159-161, Eastern Avenue West, Romford","RM6 5SD","IF","Factory And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","No 28-31 Parking Spaces 159-161, Eastern Avenue West, Romford","RM6 5SD","CP1","Car Parking Space And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Unit A2 Block A 159-161, Eastern Avenue West, Romford","RM6 5SD","CW","Warehouse And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Parking Space 24, 159-161, Eastern Avenue West, Chadwell Heath, Romford, Essex","RM6 5SD","CP1","Car Parking Space And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Beech Hill Farm, Hainault Road, Little Heath, Romford, Essex","RM6 5RX","CW","Warehouse And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Chadwell Heath Lawn Tennis Club, Hainault Road, Little Heath, Romford","RM6 5RX","LS","Sports Grounds And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","T-Mobile Mast ( Ref Ya 60438 ), Adj Chadwell Heath Lawn Tennis Club, Hainault Road, Little Heath, Romford, Essex","RM6 5RX","MT1","Communication Station And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","St Bedes Roman Catholic School, Canon Avenue, Chadwell Heath, Romford, Essex","RM6 5RR","EL","School And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Units 1 & 2, Hainault Road, Little Heath, Romford, Essex","RM6 5NF","CW","Warehouse And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","74, Somerville Road, Chadwell Heath, Romford, Essex","RM6 5AX","CS","Shop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","76, Somerville Road, Chadwell Heath, Romford, Essex","RM6 5AX","CS","Shop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","50, Grove Road, Chadwell Heath, Romford, Essex","RM6 4ZZ","CL2","Club And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Woodland Works, Chadwell Heath Lane, Romford","RM6 4ZZ","IF","Factory And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","200, Chadwell Heath Lane, Romford","RM6 4YU","MH","Surgery And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","262, Chadwell Heath Lane, Chadwell Heath, Romford, Essex","RM6 4YL","CS","Shop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Redbridge Technical College, Little Heath, Romford, Essex","RM6 4XY","EL1","College And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","10, Little Heath,  Chadwell Heath, Romford","RM6 4XX","CO","Office And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","207, Barley Lane, Chadwell Heath, Romford, Essex","RM6 4XU","CS","Shop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Grove Primary School, Chadwell Heath Lane, Romford","RM6 4XS","EL","School And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Grovelands Day Hospital, Grove Road, Chadwell Heath, Romford, Essex","RM6 4XH","MH2","Hospital And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Colour Craft Autos Ltd, Grove Road, Chadwell Heath, Romford, Essex","RM6 4UL","CG1","Vechile Repair Workshop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Priestley Works, Adj 71 Priestley Gardens, Romford","RM6 4SH","CO","Office And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Chadwell Heath High School, Christie Gardens, Chadwell Heath, Romford, Essex","RM6 4SD","EL","School And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Barley Lane Junior & Infants School, Huxley Drive, Chadwell Heath, Romford, Essex","RM6 4RJ","EL","School And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Adj 34, Chadwell Avenue, Chadwell Heath, Romford, Essex","RM6 4QH","IF3","Workshop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","65, Grove Road, Chadwell Heath, Romford, Essex","RM6 4PD","CS","Shop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","67, Reynolds Avenue, Romford","RM6 4NS","EN1","Day Nursery And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","C G House, 107b, Chadwell Heath Lane, Chadwell Heath, Romford, Essex","RM6 4NP","CWO","Warehouse And Premises And Office"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","64, Chadwell Heath Lane, Chadwell Heath, Romford, Essex","RM6 4NP","CS","Shop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","66, Chadwell Heath Lane, Chadwell Heath, Romford, Essex","RM6 4NP","CS3","Hairdressing Salon And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","70, Chadwell Heath Lane, Chadwell Heath, Romford, Essex","RM6 4NP","CS","Shop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","75-77 Chadwell Heath Lane, Chadwell Heath, Romford, Essex","RM6 4NP","CS","Shop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","65, Chadwell Heath Lane, Chadwell Heath, Romford, Essex","RM6 4NP","CS","Shop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","67, Chadwell Heath Lane, Chadwell Heath, Romford, Essex","RM6 4NP","CS","Shop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","69, Chadwell Heath Lane, Chadwell Heath, Romford, Essex","RM6 4NP","CS","Shop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","73, Chadwell Heath Lane, Chadwell Heath, Romford, Essex","RM6 4NP","CS5","Launderette And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","71, Chadwell Heath Lane, Chadwell Heath, Romford, Essex","RM6 4NP","CS","Shop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","105c, Chadwell Heath Lane, Chadwell Heath, Romford, Essex","RM6 4NP","CS","Shop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","79, Chadwell Heath Lane, Chadwell Heath, Romford, Essex","RM6 4NP","CS","Shop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","105, Chadwell Heath Lane, Chadwell Heath, Romford, Essex","RM6 4NP","CS","Shop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Orange Site No G L N 7374, C/O Eastern Avenue, Chadwell Heath Lane, Chadwell Heath, Romford, Essex","RM6 4LR","MT1","Communication Station And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","The Yard, 2, Park Lane, Chadwell Heath, Romford, Essex","RM6 4LA","CG1","Vechile Repair Workshop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Hand Car Wash At Tesco, High Road, Chadwell Heath, Romford, Essex","RM6 4HY","CX","Other Commercial"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Tescos, 822-832 High Road, Chadwell Heath, Romford, Essex","RM6 4HY","CS9","Superstore And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Paul Simons, 854, High Road, Chadwell Heath, Romford, Essex","RM6 4HX","CS10","Retail Warehouse And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Allied Carpets, 854, High Road, Chadwell Heath, Romford, Essex","RM6 4HX","CS10","Retail Warehouse And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","850-860, High Road, Chadwell Heath, Romford, Essex","RM6 4HX","CS10","Retail Warehouse And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Advertising Right, (More O'Ferrall Adshel Ltd), Adj 878 High Road, Chadwell Heath, Romford, Essex","RM6 4HX","CA","Advertising Right"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Unit 5 Goodmayes Retail Park, High Road, Chadwell Heath, Romford, Essex","RM6 4HX","CS10","Retail Warehouse And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","(Maiden Ref 3359 02) East Side, Adj 876 High Road, Chadwell Heath, Romford, Essex","RM6 4HX","CA","Advertising Right"
