Body name,Body,"Year","School","Places Available","Applications Received by deadline","Places Offered","Looked After","Exceptional","Special Educational Needs","Sibling","Distance","Notes"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Farnham Green Primary School",90,164,82,0,0,1,28,53,"1.839"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Fullwood Primary School",60,344,60,0,0,0,24,35,"0.667"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Fullwood Primary School",60,331,61,0,0,0,26,35,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Fullwood Primary School",60,321,60,0,0,0,19,41,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Fullwood Primary School",60,160,60,0,0,0,24,36,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Fullwood Primary School",60,145,57,1,0,0,13,43,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Fullwood Primary School",45,117,45,0,0,1,19,25,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Gearies Infants' School",90,257,89,0,0,0,42,47,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Gearies Infants' School",90,236,90,0,0,0,32,58,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Gearies Infants' School",90,273,91,0,0,0,38,53,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Gearies Infants' School",90,324,90,0,0,0,35,55,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Gearies Infants' School",90,361,91,0,0,0,37,54,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Gearies Infants' School",90,395,90,0,0,1,29,60,"0.842"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Gilbert Colvin Primary School",60,127,55,0,0,0,17,38,"3.338"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Gilbert Colvin Primary School",60,146,61,0,0,0,29,32,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Gilbert Colvin Primary School",60,167,60,0,0,1,18,41,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Gilbert Colvin Primary School",60,158,60,0,0,1,22,37,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Gilbert Colvin Primary School",60,178,60,0,0,0,17,43,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Gilbert Colvin Primary School",60,175,60,0,0,0,29,31,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Glade Primary School",60,84,45,0,0,0,19,26,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Glade Primary School",60,122,52,0,0,0,24,28,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Glade Primary School",60,110,52,0,0,0,22,30,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Glade Primary School",60,136,59,0,0,0,22,37,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Glade Primary School",60,157,62,0,0,0,23,39,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Glade Primary School",60,158,60,0,0,0,30,30,"2.378"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Goodmayes Primary School",90,339,91,0,0,1,40,50,"0.433"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Goodmayes Primary School",90,324,90,0,0,0,34,56,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Goodmayes Primary School",90,314,90,0,0,0,34,56,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Goodmayes Primary School",90,238,90,1,0,0,39,50,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Goodmayes Primary School",90,170,90,0,0,1,23,66,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Goodmayes Primary School",90,141,90,0,0,0,28,62,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Gordon Infants' School",60,93,31,0,0,0,10,21,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Gordon Infants' School",60,159,60,0,0,1,18,41,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Gordon Infants' School",60,182,59,0,0,0,11,48,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Gordon Infants' School",60,248,60,0,0,0,9,51,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Gordon Infants' School",60,197,59,0,0,1,17,41,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Gordon Infants' School",60,208,59,0,0,0,14,45,"1.536"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Grove Primary School",90,301,90,1,0,0,31,58,"0.475"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Grove Primary School",90,267,89,2,0,0,19,68,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Grove Primary School",60,269,60,0,0,0,34,26,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Grove Primary School",90,210,90,0,0,0,31,59,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Grove Primary School",60,180,60,1,0,0,25,34,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Grove Primary School",60,166,60,1,1,1,16,41,""
